1,水道・ガス・光熱費,トウキヨウデンリヨク
2,食費,カブシキガイシャミライト
3,旅費交通費,ケイセイタクシ－ナラシノ　カ－ド
4,消耗品,ペイペイ　ダイソー
5,接待交際費,jamba丸の内
6,食費,ラーメン高橋つけめん
7,食費,ガスト
8,食費,マルエツオオクボエキマエテン
9,食費,マルエツフナバシミヤマテン
10,旅費交通費,アパホテル　アキハバラエキマエ
11,食費,マツクスバリユ
12,食費,マツヤ　アキハバラ
13,食費,パ－クビル
14,消耗品,ＡＭＡＺＯＮ．ＣＯ．ＪＰ
15,通信費,ラクテングル－プデンワサ－ビス
16,研修費,ベンゴシドツトコム
17,消耗品,シブヤサンチヨウメクリニツク
18,食費,ヒダカヤ　ケイセイフナバシテン
19,接待交際費,モツクンシブヤ
20,接待交際費,ギンザスリ−ハンドレツドバ−ネ
21,接待交際費,ラウンジバ−　クラ−ジユ
22,消耗品,ＰＨＯＴＯＳＨＯＰ　　　　　　　　　　　　　　０５
23,通信費,ＡＤＯＢＥ　ＰＳ　ＣＲＥＡＴＩＶＥ　ＣＬＤ　　０５
24,消耗品,ニンテンドーＥショップ
25,食費,クロニツク　タコス
26,食費,ロ－ソン　ＬＡＷ　マルノウチナカドオリ
27,消耗品,ダバダストアラクテンイチバテン
28,接待交際費,遠藤くん：ヒダカヤ　シンバシエキマエテン
29,接待交際費,ギンザスリ−ハンドレツドバ−ハ
30,食費,フアミリ－マ－トヨヨギエキマエ
31,食費,セブン　イレブン
32,消耗品,ヘアメイクアース　ツダヌマテン
33,旅費交通費,ユ－．エス．ジエイ　オンラインチケツト
34,消耗品,メガドン　キホ－テ　ナラシノテン
35,通信費,ＡＰＰＬＥ　ＣＯＭ　ＢＩＬＬ
36,通信費,ドコモ　ゴリヨウリヨウキン
37,食費,オオトヤ　ヨヨギエキマエテン
38,食費,ヒダカヤ　ケイセイオオクボテン
39,通信費,ソフトバンクＭ（０５ガツ）
40,食費,アコレ
41,消耗品,ラクテンエディオフィシャルショップ
42,食費,ヤヨイケン　ウチホンマチテン
43,食費,スキヤ
44,接待交際費,ＨＵＢシブヤ２ゴ
45,食費,カンサイコクサイクウコウテナントイツパ
46,接待交際費,with
47,接待交際費,スタ－バツクスコ－ヒ－ジヤパン
48,食費,ロ－ソン　ＬＡＷ　タニマチ３チヨウメニシ
49,接待交際費,ウミエ　モザイク
50,旅費交通費,ミカヅキタクシ－カブシキガイシャ
51,食費,ロ－ソン　ＬＡＷ　ホテルケイハンユニバ
52,接待交際費,アカサカビズタワ－
53,消耗品,トウキユウプラザギンザ
54,食費,ダイレツクス
55,旅費交通費,スプリング．ジヤパン
56,旅費交通費,ＪＥＴＳＴＡＲ０００００００ＺＤ１１９Ｂ　　　ＮＡ
57,旅費交通費,アパヴイラホテル　オオサカタニマチヨ
